invoice_number,invoice_date,seller_name,seller_tax_id,seller_address,buyer_name,buyer_tax_id,currency,subtotal,vat_amount,discount_amount,total_amount,payment_method,line_items
HD-2026-0001,2026-05-01,Công ty TNHH Văn Phòng Sao Mai,0312456789,"12 Nguyễn Văn Trỗi, Phú Nhuận, TP.HCM",Công ty Cổ phần An Phát,0109988776,VND,2450000,245000,0,2695000,bank_transfer,"Giấy A4: 10 x 85000; Mực in HP: 2 x 800000"
HD-2026-0002,2026-05-02,Nhà hàng Sen Việt,0301122334,"88 Lê Lợi, Quận 1, TP.HCM",Công ty Cổ phần An Phát,0109988776,VND,3800000,380000,200000,3980000,card,"Tiệc tiếp khách: 1 x 3800000"
HD-2026-0003,2026-05-03,Công ty CP Dịch vụ Bảo trì Minh Khang,0315566778,"45 Cách Mạng Tháng Tám, Quận 3, TP.HCM",Công ty Cổ phần An Phát,0109988776,VND,9200000,920000,0,10120000,bank_transfer,"Bảo trì điều hòa: 4 x 1500000; Thay linh kiện: 1 x 3200000"
HD-2026-0004,2026-05-04,Công ty TNHH Logistics Đông Dương,0317788990,"KCN Tân Bình, TP.HCM",Công ty Cổ phần An Phát,0109988776,VND,6500000,650000,0,7150000,bank_transfer,"Vận chuyển nội thành: 5 x 900000; Phụ phí nhiên liệu: 1 x 2000000"
HD-2026-0005,2026-05-05,Công ty TNHH Thiết bị Số Việt,0313334455,"101 Điện Biên Phủ, Bình Thạnh, TP.HCM",Công ty Cổ phần An Phát,0109988776,VND,14500000,1450000,500000,15450000,bank_transfer,"Laptop Dell: 2 x 6200000; Chuột Logitech: 10 x 210000"
HD-2026-0006,2026-05-06,Khách sạn Hòa Bình,0309988112,"29 Trần Phú, Nha Trang, Khánh Hòa",Công ty Cổ phần An Phát,0109988776,VND,7600000,760000,0,8360000,card,"Phòng nghỉ công tác: 4 x 1900000"
HD-2026-0007,2026-05-07,Công ty CP Marketing Blue Ocean,0319081726,"72 Nguyễn Thị Minh Khai, Quận 3, TP.HCM",Công ty Cổ phần An Phát,0109988776,VND,30000000,3000000,0,33000000,bank_transfer,"Chiến dịch quảng cáo tháng 5: 1 x 30000000"
HD-2026-0008,2026-05-08,Cửa hàng Điện Nước Thành Đạt,0314445566,"16 Phạm Văn Đồng, Thủ Đức, TP.HCM",Công ty Cổ phần An Phát,0109988776,VND,1850000,185000,0,2035000,cash,"Đèn LED: 20 x 65000; Dây điện: 5 x 110000"
HD-2026-0009,2026-05-09,Công ty TNHH Đào tạo Trí Tuệ Việt,0316677889,"33 Võ Văn Tần, Quận 3, TP.HCM",Công ty Cổ phần An Phát,0109988776,VND,12000000,1200000,1000000,12200000,bank_transfer,"Khóa đào tạo AI nội bộ: 1 x 12000000"
HD-2026-0010,2026-05-10,Công ty CP Nội thất Green Office,0311010101,"5 Nguyễn Hữu Cảnh, Bình Thạnh, TP.HCM",Công ty Cổ phần An Phát,0109988776,VND,8750000,875000,0,9625000,bank_transfer,"Ghế ergonomic: 5 x 1350000; Bàn làm việc: 2 x 1000000"
